test_year,rule,buy_combo,sell_combo,symbol,name,entry_date,exit_date,entry_close,exit_close,hold_days,status,return_rate,pnl_cny,mark_close,unrealized_return,unrealized_pnl_cny,signal_date,fear_core,fear_qvix,fear_north,fear_enhanced,fear_change3,fear_peak5,greed_enhanced,regime,symbol_fear,buy_quality,exit_reason,exit_key,max_hold,greed_threshold,mark_date,overlay
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159902,中小板ETF,2021-03-02,2021-04-28,4.912,4.558,1095.0,closed,-0.07206840390879476,-7.206840390879476,4.5,,,2021-03-01,66.98790627362057,69.44444444444444,95.5026455026455,67.72486772486772,-5.158730158730151,76.08465608465607,32.27513227513228,恐惧,60.58201058201058,64.15343915343915,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159902,中小板ETF,2021-03-03,2021-04-29,4.961,4.588,1094.0,closed,-0.07518645434388227,-7.518645434388227,4.5,,,2021-03-02,73.09145880574452,64.68253968253968,19.70899470899471,70.56878306878306,2.6719576719576565,76.08465608465607,29.431216931216937,恐惧,63.02910052910053,66.7989417989418,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159902,中小板ETF,2021-03-04,2021-04-30,4.777,4.569,1093.0,closed,-0.043541971948921954,-4.354197194892196,4.5,,,2021-03-03,51.94633408919123,61.64021164021164,96.95767195767195,54.854497354497354,-21.23015873015872,76.08465608465607,45.145502645502646,中性,58.994708994709,56.92460317460318,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159902,中小板ETF,2021-03-05,2021-05-06,4.785,4.501,1092.0,closed,-0.059352142110762784,-5.9352142110762784,4.5,,,2021-03-04,74.39531368102796,73.28042328042328,3.571428571428571,74.06084656084656,6.335978835978835,76.08465608465607,25.939153439153444,恐惧,77.9431216931217,76.00198412698413,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159902,中小板ETF,2021-03-08,2021-05-07,4.595,4.425,1091.0,closed,-0.03699673558215455,-3.699673558215455,4.5,,,2021-03-05,64.38019652305367,81.21693121693121,97.61904761904762,69.43121693121692,-1.1375661375661394,74.06084656084656,30.568783068783077,恐惧,66.07142857142858,67.75132275132276,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),510880,红利ETF,2021-08-16,2021-09-02,2.892,3.194,13.0,closed,0.1044260027662518,10.44260027662518,3.3,,,2021-08-13,47.241118669690096,26.984126984126984,66.005291005291,41.16402116402116,2.208994708994709,41.16402116402116,58.83597883597884,中性,37.92989417989418,39.54695767195767,technical_sell,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),510880,红利ETF,2021-10-26,2021-12-21,2.984,2.882,449.0,closed,-0.03418230563002678,-3.4182305630026777,3.3,,,2021-10-25,47.14663643235072,31.349206349206348,2.2486772486772484,42.407407407407405,0.3835978835978793,48.703703703703695,57.592592592592595,中性,74.23941798941797,58.32341269841269,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),510880,红利ETF,2021-10-27,2021-12-22,2.913,2.877,448.0,closed,-0.012358393408856916,-1.2358393408856916,3.3,,,2021-10-26,58.18216175359032,28.968253968253972,54.761904761904766,49.41798941798941,0.7142857142857153,49.41798941798941,50.58201058201059,中性,83.16798941798942,66.29298941798942,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159870,化工ETF,2021-10-12,2021-12-07,1.026,1.01,947.0,closed,-0.015594541910331383,-1.5594541910331383,0.781,,,2021-10-11,67.00680272108843,29.100529100529098,83.86243386243386,55.634920634920626,-14.867724867724881,70.5026455026455,44.365079365079374,中性,86.4396260812226,71.03727335807162,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159870,化工ETF,2021-10-13,2021-12-08,1.033,1.024,946.0,closed,-0.008712487899322219,-0.8712487899322219,0.781,,,2021-10-12,79.78080120937264,27.513227513227513,61.37566137566137,64.1005291005291,-0.330687830687836,70.5026455026455,35.8994708994709,恐惧,96.08298474409449,80.09175692231179,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159870,化工ETF,2021-10-14,2021-12-09,1.035,1.031,945.0,closed,-0.0038647342995169476,-0.38647342995169476,0.781,,,2021-10-13,67.61148904006048,29.4973544973545,,56.17724867724868,2.500000000000014,64.43121693121694,43.82275132275132,中性,86.63539216967163,71.40632042346016,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
