overlay,family,threshold,recovery_change,exit_key,max_hold,greed_threshold,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,robust_score
enhanced_ge_70,enhanced,70.0,,hold_40_greed_70,40,70.0,11,11,0,4,0.36363636363636365,-0.1113575916386048,-0.07518645434388227,-122.49335080246529,0.0,-122.49335080246529,3,0.0,0.408248290463863,-inf
enhanced_ge_70,enhanced,70.0,,hold_40_greed_60,40,60.0,11,11,0,4,0.36363636363636365,-0.11681365896336558,-0.10340657125579522,-128.49502485970214,0.0,-128.49502485970214,3,0.0,0.408248290463863,-inf
qvix_ge_80,qvix,80.0,,hold_40_greed_off,40,,21,21,0,7,0.3333333333333333,-0.034056206526329985,-0.02024584237165583,-71.51803370529296,0.0,-71.51803370529296,3,0.0,0.18332398030762342,-inf
qvix_ge_80,qvix,80.0,,hold_40_greed_80,40,80.0,21,21,0,7,0.3333333333333333,-0.034056206526329985,-0.02024584237165583,-71.51803370529296,0.0,-71.51803370529296,3,0.0,0.18332398030762342,-inf
qvix_ge_80,qvix,80.0,,hold_40_greed_70,40,70.0,21,21,0,7,0.3333333333333333,-0.034864169904404385,-0.02024584237165583,-73.2147567992492,0.0,-73.2147567992492,3,0.0,0.18332398030762342,-inf
core_ge_75,core,75.0,,hold_20_greed_60,20,60.0,6,6,0,2,0.3333333333333333,-0.05069089354006303,-0.048996090315711116,-30.414536124037816,0.0,-30.414536124037816,2,0.0,0.25,-inf
core_ge_75,core,75.0,,hold_40_greed_off,40,,6,6,0,2,0.3333333333333333,-0.08896548628655186,-0.014537239424774251,-53.379291771931115,0.0,-53.379291771931115,2,0.0,0.25,-inf
core_ge_75,core,75.0,,hold_40_greed_80,40,80.0,6,6,0,2,0.3333333333333333,-0.08896548628655186,-0.014537239424774251,-53.379291771931115,0.0,-53.379291771931115,2,0.0,0.25,-inf
core_ge_75,core,75.0,,hold_40_greed_70,40,70.0,6,6,0,2,0.3333333333333333,-0.09604306512755534,-0.0273450675228763,-57.625839076533204,0.0,-57.625839076533204,2,0.0,0.25,-inf
enhanced_ge_70,enhanced,70.0,,hold_20_greed_off,20,,11,11,0,3,0.2727272727272727,-0.03457087709125655,-0.0595348837209303,-38.02796480038221,0.0,-38.02796480038221,3,0.0,0.42491829279939874,-inf
enhanced_ge_70,enhanced,70.0,,hold_20_greed_70,20,70.0,11,11,0,3,0.2727272727272727,-0.03457087709125655,-0.0595348837209303,-38.02796480038221,0.0,-38.02796480038221,3,0.0,0.42491829279939874,-inf
enhanced_ge_70,enhanced,70.0,,hold_20_greed_80,20,80.0,11,11,0,3,0.2727272727272727,-0.03457087709125655,-0.0595348837209303,-38.02796480038221,0.0,-38.02796480038221,3,0.0,0.42491829279939874,-inf
