qvix_weight,entry_threshold,max_hold,greed_threshold,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,meaningful_worst_year,selection_score
0.0,40,60,70.0,229,229,0,137,0.5982532751091703,0.03546382349465614,0.026595744680850908,812.1215580276257,0.0,812.1215580276257,3,0.0,0.2883947677529976,0.5462962962962963,0.4668654564524538
0.2,55,60,70.0,81,81,0,54,0.6666666666666666,0.06575137972176427,0.03393425238600223,532.5861757462907,0.0,532.5861757462907,3,0.0,0.4120874598649895,0.6190476190476191,0.4636613243317181
0.0,65,60,70.0,66,66,0,41,0.6212121212121212,0.04084709314972578,0.025121555915721183,269.5908147881902,0.0,269.5908147881902,2,0.5897435897435898,0.038461538461538436,0.5897435897435898,0.45020244927810743
0.5,45,60,70.0,87,87,0,52,0.5977011494252874,0.06230070391427021,0.026315789473684292,542.0161240541507,0.0,542.0161240541507,3,0.0,0.2690921815192742,0.6219512195121951,0.4441910590964986
0.5,40,60,70.0,115,115,0,66,0.5739130434782609,0.0490384221093484,0.01846722068328721,563.9418542575066,0.0,563.9418542575066,3,0.0,0.28023672660181603,0.5887850467289719,0.44178161281433476
0.5,45,90,70.0,87,87,0,52,0.5977011494252874,0.05259619874234371,0.026315789473684292,457.5869290583903,0.0,457.5869290583903,3,0.0,0.2690921815192742,0.6219512195121951,0.44176493280351703
0.5,40,90,70.0,115,115,0,66,0.5739130434782609,0.04158694205995898,0.01846722068328721,478.24983368952826,0.0,478.24983368952826,3,0.0,0.28023672660181603,0.5887850467289719,0.4399187428019874
0.3,50,90,70.0,91,91,0,55,0.6043956043956044,0.05017533382971821,0.022529069767442067,456.59553785043573,0.0,456.59553785043573,3,0.0,0.33384495371911643,0.6075949367088608,0.4398399465306982
0.6,30,90,70.0,165,165,0,88,0.5333333333333333,0.02225141750619376,0.004551365409622754,367.14838885219706,0.0,367.14838885219706,3,0.0,0.29004689734052197,0.5182481751824818,0.4267629955333456
0.6,30,60,70.0,165,165,0,88,0.5333333333333333,0.02153922257586123,0.004551365409622754,355.3971725017103,0.0,355.3971725017103,3,0.0,0.29004689734052197,0.5182481751824818,0.42658494680076253
0.4,50,90,70.0,75,75,0,44,0.5866666666666667,0.05408263442925672,0.021044992743106006,405.61975821942536,0.0,405.61975821942536,3,0.0,0.292138012884583,0.6197183098591549,0.42644069738875406
0.4,45,90,70.0,96,96,0,53,0.5520833333333334,0.047734453836782396,0.010432106470285474,458.250756833111,0.0,458.250756833111,3,0.0,0.2368054424169745,0.5777777777777777,0.419697511399171
0.3,50,60,70.0,91,91,0,52,0.5714285714285714,0.05119973504533468,0.022241231822070162,465.9175889125455,0.0,465.9175889125455,3,0.0,0.3287577729496455,0.569620253164557,0.41832330228099796
0.8,40,90,70.0,80,80,0,48,0.6,0.02739699728313011,0.014092872990541516,219.17597826504087,0.0,219.17597826504087,3,0.0,0.41111108293506393,0.6027397260273972,0.4177046549234203
0.8,40,60,70.0,80,80,0,48,0.6,0.02739699728313011,0.014092872990541516,219.17597826504087,0.0,219.17597826504087,3,0.0,0.41111108293506393,0.6027397260273972,0.4177046549234203
