period,qvix_weight,entry_threshold,max_hold,greed_threshold,max_positions,ranking,initial_capital,final_value,net_profit,total_return,cagr,accepted_trades,closed_trades,win_rate,avg_net_return,open_positions,cash,open_mark_value,as_of,fee_rule
all,0.0,45,90,65.0,1,fear,10000.0,13103.499999999996,3103.4999999999964,0.3103499999999997,0.05013863902702709,15,14,0.5,0.032581776141250414,1,81.29999999999563,13022.2,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,45,90,65.0,1,fear,10000.0,10995.7,995.7000000000007,0.09957000000000016,0.06282463661300186,5,4,0.75,0.06049567007804573,1,71.10000000000036,10924.6,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,45,90,70.0,1,fear,10000.0,13993.999999999998,3993.999999999998,0.39939999999999976,0.06271032438418445,13,13,0.5384615384615384,0.029490744807428415,0,13993.999999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,45,90,70.0,1,fear,10000.0,11913.199999999999,1913.199999999999,0.19131999999999993,0.1189323760138985,4,4,0.75,0.04595512625511041,0,11913.199999999999,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,45,90,75.0,1,fear,10000.0,12590.600000000004,2590.600000000004,0.2590600000000003,0.0425766801763372,11,11,0.5454545454545454,0.0265344439400404,0,12590.600000000004,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,45,90,75.0,1,fear,10000.0,11525.999999999998,1525.9999999999982,0.15259999999999985,0.0954497683797737,3,3,0.6666666666666666,0.05015804702574415,0,11525.999999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,50,60,65.0,1,fear,10000.0,10855.900000000003,855.9000000000033,0.08559000000000028,0.014975068658080293,12,11,0.45454545454545453,0.0202961290294027,1,41.70000000000255,10814.2,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,50,60,65.0,1,fear,10000.0,9923.400000000001,-76.59999999999854,-0.007659999999999889,-0.0049238408894535235,4,3,0.6666666666666666,0.03254915983619796,1,102.80000000000109,9820.6,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,50,60,70.0,1,fear,10000.0,11385.00000000001,1385.000000000009,0.13850000000000096,0.023755047485710445,12,11,0.5454545454545454,0.024379046512875358,1,18.800000000008367,11366.2,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,50,60,70.0,1,fear,10000.0,10082.100000000004,82.100000000004,0.008210000000000495,0.0052624093181457,4,3,0.6666666666666666,0.037385881197681686,1,40.70000000000255,10041.400000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,50,60,75.0,1,fear,10000.0,12381.100000000004,2381.100000000004,0.2381100000000005,0.03941517524914695,11,10,0.6,0.03547300079844799,1,21.30000000000291,12359.800000000001,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,50,60,75.0,1,fear,10000.0,10474.600000000002,474.6000000000022,0.04746000000000028,0.03021185320366726,4,3,0.6666666666666666,0.050226619627805315,1,102.00000000000182,10372.6,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,50,90,65.0,1,fear,10000.0,10952.9,952.8999999999996,0.09528999999999987,0.0166105550244533,11,10,0.4,0.023442494058582952,1,28.299999999999272,10924.6,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,50,90,65.0,1,fear,10000.0,10419.3,419.2999999999993,0.04193000000000002,0.02671720480444062,4,3,0.6666666666666666,0.050739412308611474,1,46.69999999999891,10372.6,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,50,90,70.0,1,fear,10000.0,12247.100000000004,2247.100000000004,0.2247100000000004,0.037369969978486406,10,10,0.5,0.02403940776980374,0,12247.100000000004,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,50,90,70.0,1,fear,10000.0,11377.0,1377.0,0.13769999999999993,0.08633830739633197,3,3,0.6666666666666666,0.04536414164678517,0,11377.0,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,50,90,75.0,1,fear,10000.0,12823.400000000005,2823.400000000005,0.2823400000000005,0.04603965579157987,10,10,0.6,0.03101490531307403,0,12823.400000000005,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,50,90,75.0,1,fear,10000.0,11677.199999999999,1677.199999999999,0.16771999999999987,0.1046527466722389,3,3,0.6666666666666666,0.05425600226167482,0,11677.199999999999,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,40,60,65.0,1,fear,10000.0,10524.900000000001,524.9000000000015,0.05249000000000015,0.009247295622131446,18,18,0.4444444444444444,0.009111607798493456,0,10524.900000000001,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,40,60,65.0,1,fear,10000.0,8161.499999999999,-1838.500000000001,-0.18385000000000007,-0.12226427858648925,4,4,0.5,-0.039177123148212645,0,8161.499999999999,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,40,60,70.0,1,fear,10000.0,11854.799999999994,1854.7999999999938,0.18547999999999942,0.031087451609120853,14,14,0.6428571428571429,0.019545590307366224,0,11854.799999999994,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,40,60,70.0,1,fear,10000.0,8561.999999999998,-1438.0000000000018,-0.14380000000000015,-0.09485328135718574,4,4,0.75,-0.02778334364023871,0,8561.999999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,40,60,75.0,1,fear,10000.0,12328.600000000006,2328.600000000006,0.2328600000000005,0.03838345430921186,13,13,0.6153846153846154,0.02426364429866413,0,12328.600000000006,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,40,60,75.0,1,fear,10000.0,9016.499999999998,-983.5000000000018,-0.09835000000000016,-0.06429665805726292,4,4,0.5,-0.012819800415415687,0,9016.499999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,40,90,65.0,1,fear,10000.0,9132.700000000003,-867.2999999999975,-0.08672999999999975,-0.01619105734454407,17,16,0.4375,0.01674370766168013,1,80.100000000004,9052.599999999999,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,40,90,65.0,1,fear,10000.0,8161.499999999999,-1838.500000000001,-0.18385000000000007,-0.12226427858648925,4,3,0.6666666666666666,0.034312481588432496,1,6.5,8154.999999999999,2026-07-31,万三，单边最低5元；100股整数手
