source,category,symbol,display_name,entry_date,exit_date,ret,cash_before,cash_after,param_id,entry_year,source_type,win,ret_pct,holding_calendar_days,caliber,buy_low,sell_high,strategy_id,signal_date,entry_close,exit_close,return,hold_days,buy_target,buy_frequency,buy_combo,buy_threshold,sell_frequency,sell_combo,sell_threshold,max_hold,exit_rule,train_score,selected_for_year,selector_score_func,entry_dt,exit_dt,portfolio_weight,applied_return,equity,priority,decision_date,mom20,mom60,mom120,vol20,amount20,history,dist,score,ret_raw
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2019-09-19,2019-10-10,-0.02223675604970554,3925.85633458298,3838.558024984667,rotate_mom_idle20_hold10_ma0_mom40,2019.0,空仓补偿,False,-2.2237,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0222367560497055
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2019-10-14,2019-10-28,0.01449275362318847,3838.558024984667,3894.189300709083,rotate_mom_idle20_hold10_ma0_mom40,2019.0,空仓补偿,True,1.4493,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0144927536231884
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2019-10-30,2019-11-13,0.002630713581058819,3894.189300709083,3904.4337973896722,rotate_mom_idle20_hold10_ma0_mom40,2019.0,空仓补偿,True,0.2631,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026307135810588
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2019-11-15,2019-11-18,0.005913272010512394,3904.4337973896722,3927.5217764806753,rotate_mom_idle20_hold10_ma0_mom40,2019.0,空仓补偿,True,0.5913,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0059132720105123
主策略,军工/基建/交通/央企,512660,军工ETF,2019-11-19,2020-01-15,0.07480938832753292,3927.5217764806753,4221.3372782222605,,2019.0,主策略,True,7.4809,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0748093883275329
主策略,军工/基建/交通/央企,512950,央企改革ETF,2020-02-04,2020-03-31,0.00407757194361813,4221.3372782222605,4238.550084672489,,2020.0,主策略,True,0.4078,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0040775719436181
空仓补偿_rotate_mom,宽基/风格指数,510880,红利ETF,2020-04-21,2020-05-08,0.024056408129406792,4238.550084672489,4340.514375386302,rotate_mom_idle20_hold10_ma0_mom40,2020.0,空仓补偿,True,2.4056,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0240564081294067
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2020-05-12,2020-05-26,-0.021258503401360485,4340.514375386302,4248.241535773498,rotate_mom_idle20_hold10_ma0_mom40,2020.0,空仓补偿,False,-2.1259,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0212585034013605
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2020-05-28,2020-06-11,0.06976744186046524,4248.241535773498,4544.630480129789,rotate_mom_idle20_hold10_ma0_mom40,2020.0,空仓补偿,True,6.9767,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0697674418604652
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2020-06-15,2020-07-01,0.10077519379844957,4544.630480129789,5002.61649750721,rotate_mom_idle20_hold10_ma0_mom40,2020.0,空仓补偿,True,10.0775,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1007751937984495
